"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260717","5호선","우장산","10301","10042","20260720"
"20260717","중앙선","운길산","907","941","20260720"
"20260717","공항철도 1호선","운서","10036","10748","20260720"
"20260717","경의선","운정","6522","6196","20260720"
"20260717","경의선","운천","5","2","20260720"
"20260717","일산선","원당","8250","8040","20260720"
"20260717","중앙선","원덕","394","411","20260720"
"20260717","수인선","원인재","3378","3433","20260720"
"20260717","서해선","원종","4298","4042","20260720"
"20260717","일산선","원흥","7563","7183","20260720"
"20260717","경원선","월계","4681","4125","20260720"
"20260717","6호선","월곡(동덕여대)","7117","6582","20260720"
"20260717","수인선","월곶","2410","2197","20260720"
"20260717","6호선","월드컵경기장(성산)","3949","3822","20260720"
"20260717","경의선","월롱","1173","1031","20260720"
"20260717","2호선","을지로3가","15691","16069","20260720"
"20260717","3호선","을지로3가","8831","8596","20260720"
"20260717","2호선","을지로4가","10794","10481","20260720"
"20260717","5호선","을지로4가","4532","4735","20260720"
"20260717","2호선","을지로입구","35848","35581","20260720"
"20260717","경원선","응봉","1472","1213","20260720"
"20260717","6호선","응암","12644","12223","20260720"
"20260717","경부선","의왕","5747","5515","20260720"
"20260717","경원선","의정부","17354","17837","20260720"
"20260717","2호선","이대","11671","12116","20260720"
"20260717","경강선","이매","764","586","20260720"
"20260717","분당선","이매","3670","3662","20260720"
"20260717","7호선","이수","12583","12022","20260720"
"20260717","경강선","이천","2862","3019","20260720"
"20260717","경원선","이촌(국립중앙박물관)","2670","2377","20260720"
"20260717","4호선","이촌(국립중앙박물관)","13105","13191","20260720"
"20260717","6호선","이태원","13053","16408","20260720"
"20260717","과천선","인덕원","16455","16708","20260720"
"20260717","경인선","인천","4763","4208","20260720"
"20260717","수인선","인천","1345","2132","20260720"
"20260717","공항철도 1호선","인천공항1터미널","17417","14700","20260720"
"20260717","공항철도 1호선","인천공항2터미널","13393","10214","20260720"
"20260717","수인선","인천논현","4034","4291","20260720"
"20260717","수인선","인하대","4508","4052","20260720"
"20260717","경의선","일산","7497","7187","20260720"
"20260717","3호선","일원","5059","5126","20260720"
"20260717","경의선","임진강","53","42","20260720"
"20260717","7호선","자양(뚝섬한강공원)","10543","10125","20260720"
"20260717","2호선","잠실(송파구청)","78338","76468","20260720"
"20260717","8호선","잠실(송파구청)","21118","23682","20260720"
"20260717","2호선","잠실나루","8023","7903","20260720"
"20260717","2호선","잠실새내","18427","18948","20260720"
"20260717","3호선","잠원","4484","4155","20260720"
"20260717","7호선","장승배기","6320","5961","20260720"
"20260717","7호선","장암","2098","1508","20260720"
"20260717","8호선","장지","12311","11584","20260720"
"20260717","5호선","장한평","12314","11835","20260720"
"20260717","경원선","전곡","1566","1376","20260720"
"20260717","우이신설선","정릉","3564","2873","20260720"
"20260717","일산선","정발산","5737","5997","20260720"
"20260717","과천선","정부과천청사","7864","7824","20260720"
"20260717","안산선","정왕","7356","7237","20260720"
"20260717","분당선","정자","10213","10290","20260720"
"20260717","1호선","제기동","14530","14991","20260720"
"20260717","경인선","제물포","7140","7046","20260720"
"20260717","1호선","종각","23288","22758","20260720"
"20260717","5호선","종로3가","14902","15554","20260720"
"20260717","3호선","종로3가","9109","11182","20260720"
"20260717","1호선","종로3가","22771","21532","20260720"
"20260717","1호선","종로5가","21603","20823","20260720"
"20260717","9호선2~3단계","종합운동장","4447","4215","20260720"
"20260717","2호선","종합운동장","20458","21878","20260720"
"20260717","경인선","주안","14716","12788","20260720"
"20260717","일산선","주엽","6499","6485","20260720"
"20260717","분당선","죽전","9604","10736","20260720"
"20260717","7호선","중계","9148","8092","20260720"
"20260717","7호선","중곡","6918","6552","20260720"
"20260717","경인선","중동","6613","6257","20260720"
"20260717","중앙선","중랑","4541","4242","20260720"
"20260717","안산선","중앙","14988","15767","20260720"
"20260717","9호선2~3단계","중앙보훈병원","6296","5495","20260720"
"20260717","7호선","중화","7747","7310","20260720"
"20260717","9호선","증미","3712","3411","20260720"
"20260717","6호선","증산(명지대앞)","6759","6454","20260720"
"20260717","3호선","지축","5203","5061","20260720"
"20260717","중앙선","지평","65","72","20260720"
"20260717","경원선","지행","5729","5578","20260720"
"20260717","경부선","직산","788","831","20260720"
"20260717","경부선","진위","1127","985","20260720"
"20260717","경원선","창동","2566","2611","20260720"
"20260717","4호선","창동","19847","20541","20260720"
"20260717","6호선","창신","2256","1888","20260720"
"20260717","경춘선","천마산","1450","1394","20260720"
"20260717","경부선","천안","7114","7309","20260720"
"20260717","7호선","천왕","7005","6682","20260720"
